PERMNO,TICKER,Market Cap,Beta,PE Ratio,Forward Dividend 
79906,INCY,20.335,0.99,-114.25,NA
79915,NFX,3.43,1.85,4.7,NA
80080,EMN,10.176,1.67,17.82,2.64
80100,SPG,20.541,1.28,11.8,5.2
80183,MAA,13.348,0.64,39.7,4
80191,ALB,9.833,1.46,22.44,1.54
80204,MLM,14.045,0.88,22.66,2.2
80286,TSCO,16.865,1.04,24.92,1.6
80320,CPRT,23.464,1.13,34.7,NA
80381,AVB,21.356,0.8,27.09,6.36
80399,MAC,1.223,1.7,21.36,0.6
80539,NKTR,3.65,1.92,-9.53,NA
80681,ESS,14.316,0.65,23.07,8.31
80711,AIV,5.547,0.84,30.62,1.64
81045,O,21.627,0.64,42.93,2.8
81055,COF,31.796,1.73,59.01,0.4
81061,MCK,24.541,0.81,28.82,1.68
81481,DLTR,22.891,0.62,28.48,NA
81540,ABC,21.035,0.6,13.46,1.68
81655,DRI,10.929,1.3,26.63,NA
81696,DISH,18.506,1.7,15.76,NA
81736,RMD,25.025,0.51,40.51,1.56
81774,FCX,20.273,2.3,-25.71,0.2
81910,IVZ,5.023,1.44,10.84,0.62
82303,RE,9.124,0.48,17.7,6.2
82307,DVA,9.971,1.23,13.13,NA
82581,HSIC,9.594,0.99,16.54,NA
82598,NTAP,9.67,1.24,12.38,1.92
82642,EL,74.613,0.78,58.48,NA
82651,WAT,13.23,0.99,26.47,NA
82686,CTXS,16.767,0.26,22.87,1.4
82775,HIG,15.696,0.98,8.82,1.3
83111,ALXN,22.189,1.39,26.59,NA
83143,IRM,8.518,0.71,42.05,2.47
83443,BRK,28.222,0.87,24.63,NA
83621,ANSS,25.901,1.21,65.76,NA
83862,ETFC,11.904,1.25,15.56,0.56
84032,NOV,5.067,1.77,-1.69,NA
84129,ZION,5.803,1.65,13.85,1.36
84373,DGX,16.135,1.38,21.78,2.24
84381,ROK,26.593,1.49,35.3,4.08
84761,TTWO,19.107,0.61,42.88,NA
84767,ARE,21.698,0.86,51.5,4.24
84769,APH,32.466,1.29,30.3,1
84788,AMZN,1543,1.33,118.32,NA
85035,QRVO,14.579,1.47,38.58,NA
85058,BXP,14.001,1.03,13.79,3.92
85072,RL,5.128,1.27,38.12,NA
85257,AME,22.791,1.24,25.71,0.72
85265,SLG,3.701,1.55,18.06,3.54
85269,VLO,21.876,1.91,20.62,3.92
85348,YUM,27.94,0.88,27.72,1.88
85459,CHRW,12.849,0.64,27.73,2.04
85592,PLD,74.254,0.98,39.54,2.32
85593,AMG,3.45,1.51,29.04,0.04
85621,MTD,22.707,1.12,42.46,NA
85631,ADSK,50.15,1.56,167.73,NA
85663,URI,12.659,2.27,11.78,NA
85753,VRSN,23.178,0.87,29.96,NA
85792,PWR,6.882,1.13,19.9,0.2
85913,MAR,31.462,1.56,69,NA
85914,BBY,26.895,1.5,19.26,2.2
85926,SEE,6.366,1.19,15.95,0.64
86021,LLL,19.479,1.07,21.7,NA
86111,AMT,109.207,0.44,0.44,4.14
86136,SRE,37.925,0.74,9.02,4.18
86158,CTSH,36.075,1.21,22.47,0.88
86228,RSG,28.945,0.63,27.52,1.7
86339,CCI,67.898,0.35,93.09,4.8
86356,EBAY,37.997,1.38,8.41,0.64
86580,NVDA,266.91,1.35,81.14,0.64
86783,BKNG,73.916,1.04,29.62,NA
86868,GS,72.621,1.44,15.92,5
86964,FFIV,8.425,1.05,25.85,NA
86979,JNPR,8.466,0.98,24.95,0.8
87055,COST,146.776,0.69,39.77,2.8
87137,DVN,4.731,3.27,22.89,0.44
87184,RHT,33.43,0.45,61.95,NA
87267,BLK,89.453,1.28,20.64,14.52
87299,AKAM,17.283,0.34,32.19,NA
87432,A,29.735,1.13,44.19,0.72
87447,UPS,134.557,0.95,30.98,4.04
87541,PKG,9.483,1.21,18.52,3.16
87657,EW,47.663,0.88,65.13,NA
87717,EXPD,14.294,0.79,24.35,1.04
87842,MET,36.824,1.34,5.26,1.84
88031,MNST,42.508,1.07,38.04,NA
88352,ISRG,78.993,0.98,71.07,NA
88446,ILMN,49.817,0.98,72.97,NA
88661,TPR,4.288,1.34,8.44,NA
88664,JKHY,14.011,0.57,47.46,1.72
